run_id,problem_id,scope,domain,subdomain,mention_count,source_count,subq_count,flag_policy_or_regulatory,flag_computational_like,flag_missing_subqs_for_decomposable,problem_statement,related_keywords,source_ids,source_types,source_titles,decision,priority,merge_into_problem_id,in_scope,decomposition_quality,reviewer_notes
20260210_082129,1,medium,functional genomics,protein function annotation,1,1,4,0,0,0,"Accurately propagating functional annotations across isofunctional protein families, correcting numerous errors in functional assignments in existing databases, discovering completely novel functions that have not yet been characterized, and considering biological context during annotation since functions vary with context",protein annotation | functional genomics | database curation | context-dependent function | protein families,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,28,medium,microbial physiology,stress tolerance and cellular responses,1,1,4,0,0,0,"What are the morphological and compositional responses of microbial cells when tolerating chemical inhibitors (lignocellulosic inhibitors, substrates, products) and physical stresses during fermentation?",stress tolerance | lignocellulosic inhibitors | fermentation | cellular responses | adaptation | morphology,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,29,medium,plant-microbe interactions,rhizosphere chemistry and imaging,1,1,4,0,0,0,How can chemical exchanges between plants and microbes within the rhizosphere be directly measured and visualized to understand plant-microbe interactions?,rhizosphere | plant-microbe interactions | chemical exchange | root exudates | multimodal imaging | biosensors,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,32,medium,microbial ecology,microbial identification and isolation,1,1,4,0,0,0,"How can spectral signatures and mass spectrometry be used with high-throughput methods to identify, quantify, and isolate microbes in their natural environments and complex communities?",microbial identification | spectral signatures | mass spectrometry | high-throughput | isolation | microbial communities,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,35,medium,plant reproduction,self-incompatibility systems,1,1,4,0,0,0,"The self-incompatibility mechanisms operating in major bioenergy crops (switchgrass, Miscanthus, poplar) have not been characterized, preventing development of self-fertilizing lines for breeding programs.",self-incompatibility | reproduction | breeding systems | outcrossing | bioenergy crops,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,37,medium,plant molecular biology,gene regulation and transgene expression,1,1,4,1,0,0,"How promoters, enhancers, and cis-regulatory elements (CREs) impact position effects of transgene insertions in bioenergy crops is not understood, and sequences with insulator-like function to dampen ectopic interactions are needed.",cis-regulatory elements | position effects | transgene expression | insulators | safe harbors | enhancers,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,2,medium,metabolomics,metabolite identification and functional annotation,1,1,3,0,0,0,"Lack of detailed insights into gene and protein function, along with the ability to identify most metabolites and their intricate biological roles",metabolite identification | metabolomics | metabolic pathways | protein-metabolite interactions,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,6,medium,experimental biology,data reproducibility and standardization,1,1,3,0,0,0,"Understanding and reducing interlaboratory and interexperimental variability in biological data, and identifying which types of biological data are most susceptible to discrepancies caused by different laboratory protocols",reproducibility | inter-laboratory variability | standardization | batch effects | quality control,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,7,medium,systems biology,stochastic biological processes,1,1,3,0,0,0,"Biological systems often operate in a physical regime that cannot be perfectly described by continuous mathematical frameworks (e.g., essential molecules with less than one copy number per cell), requiring improved understanding of stochasticity in these systems",stochasticity | low copy number | single-cell | molecular noise | gene expression,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,8,medium,experimental biology,reproducibility and replication,1,1,3,0,0,0,"Unknown data reproducibility and replicability are major challenges; few biological and environmental studies are replicated within the same laboratory, and fewer still across multiple laboratories",reproducibility | replication | experimental validation | research quality,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
